date,Close
2010-01-04,-1.3995505591446664
2010-01-05,-1.39431878377373
2010-01-06,-1.3933998883828007
2010-01-07,-1.3866563818848516
2010-01-08,-1.3817803079555655
2010-01-11,-1.3788161292751484
2010-01-12,-1.3947634105757927
2010-01-13,-1.3807428454174195
2010-01-14,-1.3766226370516397
2010-01-15,-1.3950450075504324
2010-01-19,-1.3739993389194707
2010-01-20,-1.3920660079766132
2010-01-21,-1.42401985415151
2010-01-22,-1.4606571026414656
2010-01-25,-1.4532170141536187
2010-01-26,-1.46004944601198
2010-01-27,-1.4521499098286685
2010-01-28,-1.4713726085711736
2010-01-29,-1.487171680937797
2010-02-01,-1.4644660722458016
2010-02-02,-1.4435241498686546
2010-02-03,-1.4524759694835143
2010-02-04,-1.5031189622384413
2010-02-05,-1.4985541270705987
2010-02-08,-1.5125598713355697
2010-02-09,-1.4921366802274958
2010-02-10,-1.495678873750594
2010-02-11,-1.4803540699728375
2010-02-12,-1.484741054419855
2010-02-16,-1.456047804793417
2010-02-17,-1.4491709102548493
2010-02-18,-1.4384405834317393
2010-02-19,-1.4348539272284344
2010-02-22,-1.4365731508630764
2010-02-23,-1.4564479689152734
2010-02-24,-1.4406785383354541
2010-02-25,-1.4440873438179338
2010-02-26,-1.4417901053406106
2010-03-01,-1.4251610629434703
2010-03-02,-1.4213076306589283
2010-03-03,-1.420596227775628
2010-03-04,-1.414401094333556
2010-03-05,-1.3910878290120754
2010-03-08,-1.3913842468801172
2010-03-09,-1.3884941726667104
2010-03-10,-1.3808465916712342
2010-03-11,-1.3739845180260686
2010-03-12,-1.3743550403611207
2010-03-15,-1.3735843539042123
2010-03-16,-1.3603196543093454
2010-03-17,-1.3503155512629377
2010-03-18,-1.350878745212217
2010-03-19,-1.3596675349996536
2010-03-22,-1.3509083869990213
2010-03-23,-1.3385181201148773
2010-03-24,-1.3480775963592226
2010-03-25,-1.3510269541462379
2010-03-26,-1.3497523573136585
2010-03-29,-1.3399261049880755
2010-03-30,-1.3398520005210652
2010-03-31,-1.345543223587466
2010-04-01,-1.332693509007858
2010-04-05,-1.3188507945703096
2010-04-06,-1.3158866158898925
2010-04-07,-1.3262464203779505
2010-04-08,-1.3203328839105182
2010-04-09,-1.3085799154426645
2010-04-12,-1.3054527069348243
2010-04-13,-1.3042373936758533
2010-04-14,-1.2844515009840687
2010-04-15,-1.282939769857056
2010-04-16,-1.3118997955647314
2010-04-19,-1.3039113340210073
2010-04-20,-1.2896091718879945
2010-04-21,-1.2914321417764512
2010-04-22,-1.2873860378776818
2010-04-23,-1.2746252486584861
2010-04-26,-1.282376575907777
2010-04-27,-1.3243789878092875
2010-04-28,-1.3130410043566922
2010-04-29,-1.290187186730676
2010-04-30,-1.319962361575466
2010-05-03,-1.2968862305484188
2010-05-04,-1.3393629110387966
2010-05-05,-1.3508194616386087
2010-05-06,-1.4067238715512758
2010-05-07,-1.4323195544566776
2010-05-10,-1.3599194901874891
2010-05-11,-1.365758922187911
2010-05-12,-1.3422233434653987
2010-05-13,-1.3633134747765667
2010-05-14,-1.3955637388195052
2010-05-17,-1.3936963062508425
2010-05-18,-1.417617228201809
2010-05-19,-1.4261392419080081
2010-05-20,-1.4905508446334725
2010-05-21,-1.4666892062561145
2010-05-24,-1.4874977405926428
2010-05-25,-1.4869345466433637
2010-05-26,-1.4959456498318315
2010-05-27,-1.4439094930971088
2010-05-28,-1.4641400125909556
2010-06-01,-1.491855083252856
2010-06-02,-1.4508456712092848
2010-06-03,-1.444250373645357
2010-06-04,-1.5004956641062719
2010-06-07,-1.5218525714986775
2010-06-08,-1.5047640814060728
2010-06-09,-1.5141160651427887
2010-06-10,-1.467948982195292
2010-06-11,-1.4608942369358993
2010-06-14,-1.4638139529361098
2010-06-15,-1.4258724658267705
2010-06-16,-1.4267913612177
2010-06-17,-1.4246719734612017
2010-06-18,-1.422493302131095
2010-06-21,-1.428881107187394
2010-06-22,-1.4553956854837253
2010-06-23,-1.4602421176262073
2010-06-24,-1.4874384570190344
2010-06-25,-1.4828884427445943
2010-06-28,-1.486134218399651
2010-06-29,-1.5355322561088025
2010-06-30,-1.5511386568611987
2010-07-01,-1.5560888352574955
2010-07-02,-1.5631880431970946
2010-07-06,-1.5550661936127517
2010-07-07,-1.5073280959646336
2010-07-08,-1.492536844349352
2010-07-09,-1.481109935536344
2010-07-12,-1.479939084957579
2010-07-13,-1.455351222803519
2010-07-14,-1.4556031779913543
2010-07-15,-1.4536616409556813
