date,Open,High,Low,Close,Adj Close
2010-01-04,-1.4230259453530605,-1.4070821189847538,-1.412767867605354,-1.3995505591446675,-1.3995505591446675
2010-01-05,-1.399168335646268,-1.403009570941143,-1.3932615100968382,-1.3943187837737314,-1.3943187837737314
2010-01-06,-1.3946487263539875,-1.3992321350746058,-1.3868735502715304,-1.393399888382802,-1.393399888382802
2010-01-07,-1.3938188964511429,-1.3944070509794584,-1.3907897121224768,-1.3866563818848532,-1.3866563818848532
2010-01-08,-1.3875210802241946,-1.3900836575853357,-1.3834934409933373,-1.3817803079555673,-1.3817803079555673
2010-01-11,-1.3794598754537009,-1.3836649677339932,-1.374857038432315,-1.3788161292751495,-1.3788161292751495
2010-01-12,-1.3826458295449806,-1.3924150437842142,-1.3901196464065355,-1.394763410575794,-1.394763410575794
2010-01-13,-1.3922777837744311,-1.3856422193203837,-1.3880201071632523,-1.3807428454174209,-1.3807428454174209
2010-01-14,-1.3798747904051232,-1.3826763419407977,-1.3722065562670358,-1.3766226370516408,-1.3766226370516408
2010-01-15,-1.3768518386161879,-1.3865718226781645,-1.3906854796777746,-1.3950450075504337,-1.3950450075504337
2010-01-19,-1.3941745378380763,-1.382617319505383,-1.3841635067092788,-1.3739993389194718,-1.3739993389194718
2010-01-20,-1.3765110156203768,-1.3863062217187985,-1.3938720144158072,-1.3920660079766145,-1.3920660079766145
2010-01-21,-1.3902476641906851,-1.3957055445585809,-1.4153290076751743,-1.4240198541515112,-1.4240198541515112
2010-01-22,-1.4246115132031394,-1.4342029280577833,-1.4520486089087614,-1.4606571026414672,-1.4606571026414672
2010-01-25,-1.4588271783043705,-1.452676950342567,-1.4487429513767838,-1.4532170141536205,-1.4532170141536205
2010-01-26,-1.4537889253228122,-1.4516145465051031,-1.452525100084542,-1.4600494460119815,-1.4600494460119815
2010-01-27,-1.4595088242959933,-1.4577823910059338,-1.4625760858236627,-1.45214990982867,-1.45214990982867
2010-01-28,-1.452114447126,-1.4567347427773238,-1.4695000982217234,-1.4713726085711751,-1.4713726085711751
2010-01-29,-1.4659251876519197,-1.462297607315154,-1.4797297681517618,-1.4871716809377986,-1.4871716809377986
2010-02-01,-1.4862560202716202,-1.4727298227746926,-1.4763049878258392,-1.4644660722458032,-1.4644660722458032
2010-02-02,-1.4623095002180948,-1.4500799631843224,-1.4553542664407388,-1.4435241498686562,-1.4435241498686562
2010-02-03,-1.4465723688462857,-1.4530458405639084,-1.4464051665456108,-1.452475969483516,-1.452475969483516
2010-02-04,-1.4516402586100885,-1.4611171586068612,-1.4928481658349697,-1.5031189622384429,-1.5031189622384429
2010-02-05,-1.5007335883980404,-1.5055610524740888,-1.5200677242514324,-1.4985541270706002,-1.4985541270706002
2010-02-08,-1.4986738320320503,-1.4995555196706487,-1.5021844148104193,-1.5125598713355712,-1.5125598713355712
2010-02-09,-1.5067498551936662,-1.4876329877168906,-1.496898340829104,-1.4921366802274971,-1.4921366802274971
2010-02-10,-1.4924945629340796,-1.4959108842837945,-1.4979704459746104,-1.4956788737505955,-1.4956788737505955
2010-02-11,-1.4963177078436154,-1.4865115614440123,-1.4961091523192176,-1.480354069972839,-1.480354069972839
2010-02-12,-1.4832034317004408,-1.4898020622183787,-1.4925652491993495,-1.4847410544198565,-1.4847410544198565
2010-02-16,-1.4784911833235712,-1.4634485448057395,-1.4685024448224326,-1.4560478047934189,-1.4560478047934189
2010-02-17,-1.453285100024656,-1.4555395384601773,-1.445288390352375,-1.449170910254851,-1.449170910254851
2010-02-18,-1.4490025849903314,-1.4449007444766877,-1.441178653961268,-1.4384405834317406,-1.4384405834317406
2010-02-19,-1.4394299043253702,-1.4387328999758568,-1.4362350580125451,-1.4348539272284355,-1.4348539272284355
2010-02-22,-1.4327468099292442,-1.4389247228909547,-1.429415278059186,-1.4365731508630781,-1.4365731508630781
2010-02-23,-1.436466226100924,-1.444399053775663,-1.449070539060133,-1.456447968915275,-1.456447968915275
2010-02-24,-1.453655559802712,-1.4475862652880538,-1.4441269431114099,-1.4406785383354557,-1.4406785383354557
2010-02-25,-1.4457277205523182,-1.4518949030733228,-1.4582429941939083,-1.4440873438179351,-1.4440873438179351
2010-02-26,-1.4429714998035834,-1.4463763053620535,-1.4410595311673229,-1.441790105340612,-1.441790105340612
2010-03-01,-1.4396225434099592,-1.433288080308856,-1.4294450587576726,-1.425161062943472,-1.425161062943472
2010-03-02,-1.42235911775256,-1.4224427078014148,-1.4128423193515696,-1.4213076306589296,-1.4213076306589296
2010-03-03,-1.4188767958388355,-1.4192259850713167,-1.4127380869068675,-1.4205962277756294,-1.4205962277756294
2010-03-04,-1.4192324372257694,-1.422044306362366,-1.4126189641129223,-1.4144010943335577,-1.4144010943335577
2010-03-05,-1.4103414025524306,-1.398951778506386,-1.4000217286532248,-1.3910878290120767,-1.3910878290120767
2010-03-08,-1.3906625791421074,-1.3964875918278248,-1.3826744717849646,-1.3913842468801183,-1.3913842468801183
2010-03-09,-1.3919073239963748,-1.3901131688030433,-1.385458967093432,-1.3884941726667115,-1.3884941726667115
2010-03-10,-1.3879656319578615,-1.3858487978443348,-1.3777308758362417,-1.3808465916712358,-1.3808465916712358
2010-03-11,-1.3824235536781468,-1.38292718729131,-1.3793688142529872,-1.37398451802607,-1.37398451802607
2010-03-12,-1.3709393005584178,-1.3782496592846991,-1.36748631555696,-1.3743550403611222,-1.3743550403611222
2010-03-15,-1.3756515489352876,-1.3818352722361391,-1.375705788339174,-1.3735843539042136,-1.3735843539042136
2010-03-16,-1.3722433189771743,-1.3681125560022342,-1.3624533775127785,-1.3603196543093468,-1.3603196543093468
2010-03-17,-1.3587437646648215,-1.354006193938134,-1.3481735325886053,-1.350315551262939,-1.350315551262939
2010-03-18,-1.349571180560161,-1.3570606049708418,-1.346356909980942,-1.3508787452122184,-1.3508787452122184
2010-03-19,-1.348756169048438,-1.354950552904768,-1.3550379835896935,-1.359667534999655,-1.359667534999655
2010-03-22,-1.362729911876702,-1.3569868269265737,-1.3586861191542632,-1.3509083869990226,-1.3509083869990226
2010-03-23,-1.349067355262005,-1.3468054568175472,-1.3423811867330235,-1.3385181201148786,-1.3385181201148786
2010-03-24,-1.3398354975928548,-1.3492843991049623,-1.3391350905980184,-1.348077596359224,-1.348077596359224
2010-03-25,-1.3437920080224908,-1.3379963583319112,-1.3405050027283876,-1.3510269541462392,-1.3510269541462392
2010-03-26,-1.3474225138474374,-1.3479711499169864,-1.3458804188051616,-1.3497523573136598,-1.3497523573136598
2010-03-29,-1.3472298747628482,-1.3466136339024497,-1.3366037312266843,-1.3399261049880768,-1.3399261049880768
2010-03-30,-1.338279566525021,-1.342216462464059,-1.3348019989682642,-1.3398520005210666,-1.3398520005210666
2010-03-31,-1.3412432447494669,-1.3470415465592058,-1.3394924589798538,-1.3455432235874674,-1.3455432235874674
