,date,day_1_neg,day_1_neu,day_1_pos,week_1_neg,week_1_neu,week_1_pos,month_1_neg,month_1_neu,month_1_pos,year_1_neg,year_1_neu,year_1_pos,rest_neg,rest_neu,rest_pos,"Accounts Receivable, after Allowance for Credit Loss, Current","Accumulated Other Comprehensive Income (Loss), Net of Tax",Additional Paid in Capital,Assets,"Assets, Current","Cash and Cash Equivalents, at Carrying Value","Common Stock, Par or Stated Value Per Share","Common Stock, Shares Authorized","Common Stock, Shares, Outstanding","Common Stock, Value, Issued",Cost of Goods and Services Sold,Deferred Income Tax Expense (Benefit),Interest Expense,"Common Stock, Shares, Issued",Increase (Decrease) in Inventories,Goodwill,"Earnings Per Share, Diluted",General and Administrative Expense,"Income (Loss) from Continuing Operations before Equity Method Investments, Income Taxes, Noncontrolling Interest",Income Tax Expense (Benefit),Increase (Decrease) in Accounts Payable,"Earnings Per Share, Basic",Liabilities and Equity,"Liabilities, Current","Long-term Debt, Excluding Current Maturities","Marketable Securities, Current",Marketing Expense,Net Cash Provided by (Used in) Investing Activities,Net Cash Provided by (Used in) Operating Activities,Net Income (Loss) Attributable to Parent,Nonoperating Income (Expense),Operating Income (Loss),"Other Assets, Noncurrent","Other Liabilities, Noncurrent","Inventory, Net",Other Nonoperating Income (Expense),"Investment Income, Interest",Net Cash Provided by (Used in) Financing Activities,"Preferred Stock, Shares Authorized","Preferred Stock, Par or Stated Value Per Share","Preferred Stock, Shares Issued","Preferred Stock, Shares Outstanding","Preferred Stock, Value, Issued","Share-based Payment Arrangement, Noncash Expense",Stockholders' Equity Attributable to Parent,"Treasury Stock, Value","Weighted Average Number of Shares Outstanding, Diluted","Weighted Average Number of Shares Outstanding, Basic",Retained Earnings (Accumulated Deficit),"Accounts Payable, Current","Comprehensive Income (Loss), Net of Tax, Attributable to Parent","OCI, Debt Securities, Available-for-Sale, Unrealized Holding Gain (Loss), before Adjustment, after Tax",Unrecognized Tax Benefits,Costs and Expenses,"Income Taxes Paid, Net",Incremental Common Shares Attributable to Dilutive Effect of Share-based Payment Arrangements,"OCI, Debt Securities, Available-for-Sale, Unrealized Holding Gain (Loss), before Adjustment, Tax","Share-based Payment Arrangement, Nonvested Award, Cost Not yet Recognized, Amount",Other Noncash Income (Expense),Long-term Debt,"Long-term Debt, Current Maturities","Contractual Obligation, to be Paid, Year Two","Contractual Obligation, to be Paid, Year Three","Contractual Obligation, to be Paid, Year Four","OCI, Debt Securities, Available-for-Sale, Gain (Loss), after Adjustment and Tax","Other Comprehensive Income (Loss), Net of Tax","Long-term Debt, Gross","Other Comprehensive Income (Loss), Reclassification Adjustment from AOCI for Sale of Securities, Tax","Other Comprehensive Income (Loss), Reclassification Adjustment from AOCI for Sale of Securities, Net of Tax",Increase (Decrease) in Accrued Liabilities and Other Operating Liabilities,Increase (Decrease) in Accounts Receivable and Other Operating Assets,Other Commitment,"Other Commitment, to be Paid, Year Four","Other Commitment, to be Paid, Year Three","Other Commitment, to be Paid, Year Two","Unrecorded Unconditional Purchase Obligation, to be Paid, Year Four",Unrecorded Unconditional Purchase Obligation,"Unrecorded Unconditional Purchase Obligation, to be Paid, Year Three","Unrecorded Unconditional Purchase Obligation, to be Paid, Year Two",Payments to Acquire Marketable Securities,Open,High,Low,Close,Adj Close,Volume,Close_diff_perc
544,2/26/2018,0.032516973,0.643703888,0.323779132,0.03308258,0.661541573,0.305375845,0.230535072,0.311695754,0.457769189,0.28186909,0.495002559,0.223128348,0.188412361,0.568845289,0.242742351,0.246945155,-0.033932136,0.058232733,0.139181205,0.239182346,0.607425394,-1,0,0.004149378,0.0,3.063087589,-0.608108108,2.719298246,0.003960396,1.249215317,0.005952829,2.0,2.827083333,4.924050633,-0.724137931,1.35554826,2.0,0.139181205,0.229669443,0.001335492,-0.093476566,3.061718435,0.454968619,3.786808621,6.25,8.677419355,5.129682997,0.100705184,0.114091464,0.170374152,1.41958042,2.740740741,-0.328566565,0,-1,-1,-1,-1,2.884792627,0.123732663,0.0,0.004048583,0.004158004,0.273934209,0.327555129,8.789473684,18.5,0.09952381,3.003963408,4.563953488,0.0,-6.0,0.015873016,1.28125,-0.035013735,-0.903567985,0.043594563,-0.137113324,-0.166324033,-33.0,3.771428571,0.001289802,-1.0,1.333333333,-3.319672131,1.722411832,0.134048927,-0.157817109,-0.136631331,-0.181305399,-0.024398074,-0.023957409,-0.063599062,-0.002800336,1.519107698,75.459999,76.141998,75.349998,76.097504,76.097504,99100000,0.08823186782447041
545,2/27/2018,0.289826236,0.549818948,0.160354817,0.070092993,0.660024494,0.26988251,0.19191168,0.32538382,0.482704518,0.281912979,0.495131132,0.222955887,0.188541099,0.568821136,0.242637765,0.246945155,-0.033932136,0.058232733,0.139181205,0.239182346,0.607425394,-1,0,0.004149378,0.0,3.063087589,-0.608108108,2.719298246,0.003960396,1.249215317,0.005952829,2.0,2.827083333,4.924050633,-0.724137931,1.35554826,2.0,0.139181205,0.229669443,0.001335492,-0.093476566,3.061718435,0.454968619,3.786808621,6.25,8.677419355,5.129682997,0.100705184,0.114091464,0.170374152,1.41958042,2.740740741,-0.328566565,0,-1,-1,-1,-1,2.884792627,0.123732663,0.0,0.004048583,0.004158004,0.273934209,0.327555129,8.789473684,18.5,0.09952381,3.003963408,4.563953488,0.0,-6.0,0.015873016,1.28125,-0.035013735,-0.903567985,0.043594563,-0.137113324,-0.166324033,-33.0,3.771428571,0.001289802,-1.0,1.333333333,-3.319672131,1.722411832,0.134048927,-0.157817109,-0.136631331,-0.181305399,-0.024398074,-0.023957409,-0.063599062,-0.002800336,1.519107698,76.224998,76.338997,75.360497,75.598999,75.598999,96176000,-0.04034068301472835
546,2/28/2018,0.218210127,0.471747418,0.310042461,0.080154902,0.64845359,0.271391504,0.174017633,0.329039232,0.496943152,0.281621749,0.495230224,0.223148024,0.188554457,0.568777429,0.242668114,0.246945155,-0.033932136,0.058232733,0.139181205,0.239182346,0.607425394,-1,0,0.004149378,0.0,3.063087589,-0.608108108,2.719298246,0.003960396,1.249215317,0.005952829,2.0,2.827083333,4.924050633,-0.724137931,1.35554826,2.0,0.139181205,0.229669443,0.001335492,-0.093476566,3.061718435,0.454968619,3.786808621,6.25,8.677419355,5.129682997,0.100705184,0.114091464,0.170374152,1.41958042,2.740740741,-0.328566565,0,-1,-1,-1,-1,2.884792627,0.123732663,0.0,0.004048583,0.004158004,0.273934209,0.327555129,8.789473684,18.5,0.09952381,3.003963408,4.563953488,0.0,-6.0,0.015873016,1.28125,-0.035013735,-0.903567985,0.043594563,-0.137113324,-0.166324033,-33.0,3.771428571,0.001289802,-1.0,1.333333333,-3.319672131,1.722411832,0.134048927,-0.157817109,-0.136631331,-0.181305399,-0.024398074,-0.023957409,-0.063599062,-0.002800336,1.519107698,75.975502,76.434998,75.599998,75.622498,75.622498,90300000,0.001901026345740475
547,3/1/2018,0.048127446,0.61331371,0.338558805,0.069527132,0.654288695,0.27618416,0.157182622,0.344795042,0.49802235,0.280598401,0.495879873,0.223521724,0.188184398,0.568895804,0.242919798,0.246945155,-0.033932136,0.058232733,0.139181205,0.239182346,0.607425394,-1,0,0.004149378,0.0,3.063087589,-0.608108108,2.719298246,0.003960396,1.249215317,0.005952829,2.0,2.827083333,4.924050633,-0.724137931,1.35554826,2.0,0.139181205,0.229669443,0.001335492,-0.093476566,3.061718435,0.454968619,3.786808621,6.25,8.677419355,5.129682997,0.100705184,0.114091464,0.170374152,1.41958042,2.740740741,-0.328566565,0,-1,-1,-1,-1,2.884792627,0.123732663,0.0,0.004048583,0.004158004,0.273934209,0.327555129,8.789473684,18.5,0.09952381,3.003963408,4.563953488,0.0,-6.0,0.015873016,1.28125,-0.035013735,-0.903567985,0.043594563,-0.137113324,-0.166324033,-33.0,3.771428571,0.001289802,-1.0,1.333333333,-3.319672131,1.722411832,0.134048927,-0.157817109,-0.136631331,-0.181305399,-0.024398074,-0.023957409,-0.063599062,-0.002800336,1.519107698,75.68,75.9245,73.25,74.672501,74.672501,136704000,-0.07783076693633849
548,3/2/2018,0.165100712,0.424356205,0.410543071,0.077108843,0.642210195,0.28068095,0.154857638,0.394015481,0.45112689,0.280606104,0.49578409,0.223609803,0.188208207,0.568777551,0.243014243,0.246945155,-0.033932136,0.058232733,0.139181205,0.239182346,0.607425394,-1,0,0.004149378,0.0,3.063087589,-0.608108108,2.719298246,0.003960396,1.249215317,0.005952829,2.0,2.827083333,4.924050633,-0.724137931,1.35554826,2.0,0.139181205,0.229669443,0.001335492,-0.093476566,3.061718435,0.454968619,3.786808621,6.25,8.677419355,5.129682997,0.100705184,0.114091464,0.170374152,1.41958042,2.740740741,-0.328566565,0,-1,-1,-1,-1,2.884792627,0.123732663,0.0,0.004048583,0.004158004,0.273934209,0.327555129,8.789473684,18.5,0.09952381,3.003963408,4.563953488,0.0,-6.0,0.015873016,1.28125,-0.035013735,-0.903567985,0.043594563,-0.137113324,-0.166324033,-33.0,3.771428571,0.001289802,-1.0,1.333333333,-3.319672131,1.722411832,0.134048927,-0.157817109,-0.136631331,-0.181305399,-0.024398074,-0.023957409,-0.063599062,-0.002800336,1.519107698,73.455002,75.052498,72.750504,75.012497,75.012497,131752000,0.027728728709412453
549,3/5/2018,0.207259,0.545117903,0.247623108,0.147576213,0.566652693,0.285771078,0.103198235,0.49445775,0.402344016,0.280688098,0.496069357,0.223242543,0.188178048,0.568832708,0.242989244,0.246945155,-0.033932136,0.058232733,0.139181205,0.239182346,0.607425394,-1,0,0.004149378,0.0,3.063087589,-0.608108108,2.719298246,0.003960396,1.249215317,0.005952829,2.0,2.827083333,4.924050633,-0.724137931,1.35554826,2.0,0.139181205,0.229669443,0.001335492,-0.093476566,3.061718435,0.454968619,3.786808621,6.25,8.677419355,5.129682997,0.100705184,0.114091464,0.170374152,1.41958042,2.740740741,-0.328566565,0,-1,-1,-1,-1,2.884792627,0.123732663,0.0,0.004048583,0.004158004,0.273934209,0.327555129,8.789473684,18.5,0.09952381,3.003963408,4.563953488,0.0,-6.0,0.015873016,1.28125,-0.035013735,-0.903567985,0.043594563,-0.137113324,-0.166324033,-33.0,3.771428571,0.001289802,-1.0,1.333333333,-3.319672131,1.722411832,0.134048927,-0.157817109,-0.136631331,-0.181305399,-0.024398074,-0.023957409,-0.063599062,-0.002800336,1.519107698,74.711998,76.268997,74.050003,76.180496,76.180496,104678000,0.09379689208562672
550,3/6/2018,0.023251253,0.446027095,0.530721644,0.084511045,0.537307397,0.378181541,0.105696899,0.517382855,0.376920245,0.280043023,0.49586441,0.224092564,0.187902846,0.568627791,0.243469364,0.246945155,-0.033932136,0.058232733,0.139181205,0.239182346,0.607425394,-1,0,0.004149378,0.0,3.063087589,-0.608108108,2.719298246,0.003960396,1.249215317,0.005952829,2.0,2.827083333,4.924050633,-0.724137931,1.35554826,2.0,0.139181205,0.229669443,0.001335492,-0.093476566,3.061718435,0.454968619,3.786808621,6.25,8.677419355,5.129682997,0.100705184,0.114091464,0.170374152,1.41958042,2.740740741,-0.328566565,0,-1,-1,-1,-1,2.884792627,0.123732663,0.0,0.004048583,0.004158004,0.273934209,0.327555129,8.789473684,18.5,0.09952381,3.003963408,4.563953488,0.0,-6.0,0.015873016,1.28125,-0.035013735,-0.903567985,0.043594563,-0.137113324,-0.166324033,-33.0,3.771428571,0.001289802,-1.0,1.333333333,-3.319672131,1.722411832,0.134048927,-0.157817109,-0.136631331,-0.181305399,-0.024398074,-0.023957409,-0.063599062,-0.002800336,1.519107698,76.660004,77.106499,76.400002,76.882004,76.882004,91234000,0.055821012100157476
551,3/7/2018,0.372207179,0.467538671,0.160254213,0.242478091,0.502287653,0.255234283,0.163232636,0.512246258,0.324521118,0.281430095,0.495496703,0.2230732,0.189212396,0.567962655,0.242824951,0.246945155,-0.033932136,0.058232733,0.139181205,0.239182346,0.607425394,-1,0,0.004149378,0.0,3.063087589,-0.608108108,2.719298246,0.003960396,1.249215317,0.005952829,2.0,2.827083333,4.924050633,-0.724137931,1.35554826,2.0,0.139181205,0.229669443,0.001335492,-0.093476566,3.061718435,0.454968619,3.786808621,6.25,8.677419355,5.129682997,0.100705184,0.114091464,0.170374152,1.41958042,2.740740741,-0.328566565,0,-1,-1,-1,-1,2.884792627,0.123732663,0.0,0.004048583,0.004158004,0.273934209,0.327555129,8.789473684,18.5,0.09952381,3.003963408,4.563953488,0.0,-6.0,0.015873016,1.28125,-0.035013735,-0.903567985,0.043594563,-0.137113324,-0.166324033,-33.0,3.771428571,0.001289802,-1.0,1.333333333,-3.319672131,1.722411832,0.134048927,-0.157817109,-0.136631331,-0.181305399,-0.024398074,-0.023957409,-0.063599062,-0.002800336,1.519107698,76.325996,77.294998,76.125504,77.25,77.25,83482000,0.02914300853242957
552,3/8/2018,0.248387943,0.496928501,0.254683605,0.264289722,0.487111761,0.248598553,0.15490452,0.51300432,0.332091172,0.280964073,0.495587819,0.223448106,0.189163573,0.567906995,0.242929433,0.246945155,-0.033932136,0.058232733,0.139181205,0.239182346,0.607425394,-1,0,0.004149378,0.0,3.063087589,-0.608108108,2.719298246,0.003960396,1.249215317,0.005952829,2.0,2.827083333,4.924050633,-0.724137931,1.35554826,2.0,0.139181205,0.229669443,0.001335492,-0.093476566,3.061718435,0.454968619,3.786808621,6.25,8.677419355,5.129682997,0.100705184,0.114091464,0.170374152,1.41958042,2.740740741,-0.328566565,0,-1,-1,-1,-1,2.884792627,0.123732663,0.0,0.004048583,0.004158004,0.273934209,0.327555129,8.789473684,18.5,0.09952381,3.003963408,4.563953488,0.0,-6.0,0.015873016,1.28125,-0.035013735,-0.903567985,0.043594563,-0.137113324,-0.166324033,-33.0,3.771428571,0.001289802,-1.0,1.333333333,-3.319672131,1.722411832,0.134048927,-0.157817109,-0.136631331,-0.181305399,-0.024398074,-0.023957409,-0.063599062,-0.002800336,1.519107698,77.5,77.744003,77.262497,77.593002,77.593002,77252000,0.027043560615991825
553,3/9/2018,0.348208733,0.497670139,0.154121201,0.286309154,0.483983728,0.229707164,0.158684219,0.517072984,0.324242808,0.281115535,0.49552813,0.223356334,0.189269507,0.567860213,0.242870281,0.246945155,-0.033932136,0.058232733,0.139181205,0.239182346,0.607425394,-1,0,0.004149378,0.0,3.063087589,-0.608108108,2.719298246,0.003960396,1.249215317,0.005952829,2.0,2.827083333,4.924050633,-0.724137931,1.35554826,2.0,0.139181205,0.229669443,0.001335492,-0.093476566,3.061718435,0.454968619,3.786808621,6.25,8.677419355,5.129682997,0.100705184,0.114091464,0.170374152,1.41958042,2.740740741,-0.328566565,0,-1,-1,-1,-1,2.884792627,0.123732663,0.0,0.004048583,0.004158004,0.273934209,0.327555129,8.789473684,18.5,0.09952381,3.003963408,4.563953488,0.0,-6.0,0.015873016,1.28125,-0.035013735,-0.903567985,0.043594563,-0.137113324,-0.166324033,-33.0,3.771428571,0.001289802,-1.0,1.333333333,-3.319672131,1.722411832,0.134048927,-0.157817109,-0.136631331,-0.181305399,-0.024398074,-0.023957409,-0.063599062,-0.002800336,1.519107698,78.175003,78.946999,77.954002,78.944504,78.944504,90686000,0.10473324646221088
554,3/12/2018,0.132648011,0.229928031,0.637423965,0.294351117,0.466438275,0.239210655,0.170252873,0.526929719,0.302817422,0.281228919,0.49535829,0.223412789,0.189271897,0.567783257,0.242944847,0.246945155,-0.033932136,0.058232733,0.139181205,0.239182346,0.607425394,-1,0,0.004149378,0.0,3.063087589,-0.608108108,2.719298246,0.003960396,1.249215317,0.005952829,2.0,2.827083333,4.924050633,-0.724137931,1.35554826,2.0,0.139181205,0.229669443,0.001335492,-0.093476566,3.061718435,0.454968619,3.786808621,6.25,8.677419355,5.129682997,0.100705184,0.114091464,0.170374152,1.41958042,2.740740741,-0.328566565,0,-1,-1,-1,-1,2.884792627,0.123732663,0.0,0.004048583,0.004158004,0.273934209,0.327555129,8.789473684,18.5,0.09952381,3.003963408,4.563953488,0.0,-6.0,0.015873016,1.28125,-0.035013735,-0.903567985,0.043594563,-0.137113324,-0.166324033,-33.0,3.771428571,0.001289802,-1.0,1.333333333,-3.319672131,1.722411832,0.134048927,-0.157817109,-0.136631331,-0.181305399,-0.024398074,-0.023957409,-0.063599062,-0.002800336,1.519107698,79.629997,80.266502,79.334999,79.919502,79.919502,103484000,0.0746346893166125
555,3/13/2018,0.261551233,0.485808566,0.252640183,0.334455701,0.469881498,0.195662853,0.17090907,0.526644827,0.302446116,0.28121302,0.495354946,0.223432033,0.189314891,0.567734496,0.242950614,0.246945155,-0.033932136,0.058232733,0.139181205,0.239182346,0.607425394,-1,0,0.004149378,0.0,3.063087589,-0.608108108,2.719298246,0.003960396,1.249215317,0.005952829,2.0,2.827083333,4.924050633,-0.724137931,1.35554826,2.0,0.139181205,0.229669443,0.001335492,-0.093476566,3.061718435,0.454968619,3.786808621,6.25,8.677419355,5.129682997,0.100705184,0.114091464,0.170374152,1.41958042,2.740740741,-0.328566565,0,-1,-1,-1,-1,2.884792627,0.123732663,0.0,0.004048583,0.004158004,0.273934209,0.327555129,8.789473684,18.5,0.09952381,3.003963408,4.563953488,0.0,-6.0,0.015873016,1.28125,-0.035013735,-0.903567985,0.043594563,-0.137113324,-0.166324033,-33.0,3.771428571,0.001289802,-1.0,1.333333333,-3.319672131,1.722411832,0.134048927,-0.157817109,-0.136631331,-0.181305399,-0.024398074,-0.023957409,-0.063599062,-0.002800336,1.519107698,80.797997,80.876999,78.900497,79.408997,79.408997,130638000,-0.03932964831290371
556,3/14/2018,0.361923729,0.439973829,0.198102462,0.272656258,0.464651466,0.262692298,0.178279858,0.526888085,0.294832071,0.282101451,0.495277016,0.222621532,0.189518257,0.56758397,0.242897774,0.246945155,-0.033932136,0.058232733,0.139181205,0.239182346,0.607425394,-1,0,0.004149378,0.0,3.063087589,-0.608108108,2.719298246,0.003960396,1.249215317,0.005952829,2.0,2.827083333,4.924050633,-0.724137931,1.35554826,2.0,0.139181205,0.229669443,0.001335492,-0.093476566,3.061718435,0.454968619,3.786808621,6.25,8.677419355,5.129682997,0.100705184,0.114091464,0.170374152,1.41958042,2.740740741,-0.328566565,0,-1,-1,-1,-1,2.884792627,0.123732663,0.0,0.004048583,0.004158004,0.273934209,0.327555129,8.789473684,18.5,0.09952381,3.003963408,4.563953488,0.0,-6.0,0.015873016,1.28125,-0.035013735,-0.903567985,0.043594563,-0.137113324,-0.166324033,-33.0,3.771428571,0.001289802,-1.0,1.333333333,-3.319672131,1.722411832,0.134048927,-0.157817109,-0.136631331,-0.181305399,-0.024398074,-0.023957409,-0.063599062,-0.002800336,1.519107698,79.849998,80.321999,79.544502,79.550003,79.550003,85188000,0.01084394149982306
557,3/15/2018,0.458536085,0.428649771,0.112814146,0.412923363,0.436571279,0.150505367,0.228195149,0.510317142,0.261487721,0.284481351,0.493886087,0.22163256,0.19115009,0.56674101,0.242108901,0.246945155,-0.033932136,0.058232733,0.139181205,0.239182346,0.607425394,-1,0,0.004149378,0.0,3.063087589,-0.608108108,2.719298246,0.003960396,1.249215317,0.005952829,2.0,2.827083333,4.924050633,-0.724137931,1.35554826,2.0,0.139181205,0.229669443,0.001335492,-0.093476566,3.061718435,0.454968619,3.786808621,6.25,8.677419355,5.129682997,0.100705184,0.114091464,0.170374152,1.41958042,2.740740741,-0.328566565,0,-1,-1,-1,-1,2.884792627,0.123732663,0.0,0.004048583,0.004158004,0.273934209,0.327555129,8.789473684,18.5,0.09952381,3.003963408,4.563953488,0.0,-6.0,0.015873016,1.28125,-0.035013735,-0.903567985,0.043594563,-0.137113324,-0.166324033,-33.0,3.771428571,0.001289802,-1.0,1.333333333,-3.319672131,1.722411832,0.134048927,-0.157817109,-0.136631331,-0.181305399,-0.024398074,-0.023957409,-0.063599062,-0.002800336,1.519107698,79.75,79.845497,78.905502,79.115997,79.115997,81394000,-0.033559942009690334
558,3/16/2018,0.409717806,0.438519021,0.151763171,0.416953412,0.432784078,0.150262512,0.236513294,0.507017042,0.256469676,0.284942597,0.493679222,0.221378179,0.191562314,0.566499979,0.241937709,0.246945155,-0.033932136,0.058232733,0.139181205,0.239182346,0.607425394,-1,0,0.004149378,0.0,3.063087589,-0.608108108,2.719298246,0.003960396,1.249215317,0.005952829,2.0,2.827083333,4.924050633,-0.724137931,1.35554826,2.0,0.139181205,0.229669443,0.001335492,-0.093476566,3.061718435,0.454968619,3.786808621,6.25,8.677419355,5.129682997,0.100705184,0.114091464,0.170374152,1.41958042,2.740740741,-0.328566565,0,-1,-1,-1,-1,2.884792627,0.123732663,0.0,0.004048583,0.004158004,0.273934209,0.327555129,8.789473684,18.5,0.09952381,3.003963408,4.563953488,0.0,-6.0,0.015873016,1.28125,-0.035013735,-0.903567985,0.043594563,-0.137113324,-0.166324033,-33.0,3.771428571,0.001289802,-1.0,1.333333333,-3.319672131,1.722411832,0.134048927,-0.157817109,-0.136631331,-0.181305399,-0.024398074,-0.023957409,-0.063599062,-0.002800336,1.519107698,79.172501,79.472,78.375,78.584,78.584,108500000,-0.041415682796263516
559,3/19/2018,0.290482228,0.673765482,0.035752276,0.375210859,0.531194415,0.093594717,0.265130844,0.534940015,0.199929145,0.286277424,0.496225576,0.217496998,0.193461363,0.566958859,0.239579778,0.246945155,-0.033932136,0.058232733,0.139181205,0.239182346,0.607425394,-1,0,0.004149378,0.0,3.063087589,-0.608108108,2.719298246,0.003960396,1.249215317,0.005952829,2.0,2.827083333,4.924050633,-0.724137931,1.35554826,2.0,0.139181205,0.229669443,0.001335492,-0.093476566,3.061718435,0.454968619,3.786808621,6.25,8.677419355,5.129682997,0.100705184,0.114091464,0.170374152,1.41958042,2.740740741,-0.328566565,0,-1,-1,-1,-1,2.884792627,0.123732663,0.0,0.004048583,0.004158004,0.273934209,0.327555129,8.789473684,18.5,0.09952381,3.003963408,4.563953488,0.0,-6.0,0.015873016,1.28125,-0.035013735,-0.903567985,0.043594563,-0.137113324,-0.166324033,-33.0,3.771428571,0.001289802,-1.0,1.333333333,-3.319672131,1.722411832,0.134048927,-0.157817109,-0.136631331,-0.181305399,-0.024398074,-0.023957409,-0.063599062,-0.002800336,1.519107698,77.726501,78.083,76.267502,77.246498,77.246498,131616000,-0.10592669300384659
560,3/20/2018,0.282508059,0.666691525,0.050800392,0.362666957,0.554223954,0.083109077,0.267717128,0.545166942,0.187115932,0.286247579,0.497575306,0.216177113,0.193839073,0.567381895,0.238779033,0.246945155,-0.033932136,0.058232733,0.139181205,0.239182346,0.607425394,-1,0,0.004149378,0.0,3.063087589,-0.608108108,2.719298246,0.003960396,1.249215317,0.005952829,2.0,2.827083333,4.924050633,-0.724137931,1.35554826,2.0,0.139181205,0.229669443,0.001335492,-0.093476566,3.061718435,0.454968619,3.786808621,6.25,8.677419355,5.129682997,0.100705184,0.114091464,0.170374152,1.41958042,2.740740741,-0.328566565,0,-1,-1,-1,-1,2.884792627,0.123732663,0.0,0.004048583,0.004158004,0.273934209,0.327555129,8.789473684,18.5,0.09952381,3.003963408,4.563953488,0.0,-6.0,0.015873016,1.28125,-0.035013735,-0.903567985,0.043594563,-0.137113324,-0.166324033,-33.0,3.771428571,0.001289802,-1.0,1.333333333,-3.319672131,1.722411832,0.134048927,-0.157817109,-0.136631331,-0.181305399,-0.024398074,-0.023957409,-0.063599062,-0.002800336,1.519107698,77.516998,79.349998,77.2705,79.3255,79.3255,91632000,0.1603363018582785
561,3/21/2018,0.228643764,0.662244635,0.109111629,0.346414462,0.570840337,0.082745192,0.271043278,0.558870673,0.170086052,0.285002894,0.498997613,0.215999492,0.193882134,0.56771649,0.238401376,0.246945155,-0.033932136,0.058232733,0.139181205,0.239182346,0.607425394,-1,0,0.004149378,0.0,3.063087589,-0.608108108,2.719298246,0.003960396,1.249215317,0.005952829,2.0,2.827083333,4.924050633,-0.724137931,1.35554826,2.0,0.139181205,0.229669443,0.001335492,-0.093476566,3.061718435,0.454968619,3.786808621,6.25,8.677419355,5.129682997,0.100705184,0.114091464,0.170374152,1.41958042,2.740740741,-0.328566565,0,-1,-1,-1,-1,2.884792627,0.123732663,0.0,0.004048583,0.004158004,0.273934209,0.327555129,8.789473684,18.5,0.09952381,3.003963408,4.563953488,0.0,-6.0,0.015873016,1.28125,-0.035013735,-0.903567985,0.043594563,-0.137113324,-0.166324033,-33.0,3.771428571,0.001289802,-1.0,1.333333333,-3.319672131,1.722411832,0.134048927,-0.157817109,-0.136631331,-0.181305399,-0.024398074,-0.023957409,-0.063599062,-0.002800336,1.519107698,79.322502,79.5,78.158501,79.093002,79.093002,95016000,-0.01798336401263128
562,3/22/2018,0.399245602,0.437821437,0.162932982,0.319520184,0.605434373,0.075045434,0.275574281,0.559680463,0.164745259,0.285169923,0.498954114,0.215875961,0.194044873,0.567613556,0.238341572,0.246945155,-0.033932136,0.058232733,0.139181205,0.239182346,0.607425394,-1,0,0.004149378,0.0,3.063087589,-0.608108108,2.719298246,0.003960396,1.249215317,0.005952829,2.0,2.827083333,4.924050633,-0.724137931,1.35554826,2.0,0.139181205,0.229669443,0.001335492,-0.093476566,3.061718435,0.454968619,3.786808621,6.25,8.677419355,5.129682997,0.100705184,0.114091464,0.170374152,1.41958042,2.740740741,-0.328566565,0,-1,-1,-1,-1,2.884792627,0.123732663,0.0,0.004048583,0.004158004,0.273934209,0.327555129,8.789473684,18.5,0.09952381,3.003963408,4.563953488,0.0,-6.0,0.015873016,1.28125,-0.035013735,-0.903567985,0.043594563,-0.137113324,-0.166324033,-33.0,3.771428571,0.001289802,-1.0,1.333333333,-3.319672131,1.722411832,0.134048927,-0.157817109,-0.136631331,-0.181305399,-0.024398074,-0.023957409,-0.063599062,-0.002800336,1.519107698,78.273499,78.692497,77.120003,77.246002,77.246002,126412000,-0.146278553776817
563,3/23/2018,0.396700111,0.437728653,0.165571261,0.311954494,0.613605057,0.074440439,0.279745167,0.555871867,0.164382969,0.285516641,0.498593911,0.215889446,0.194168076,0.567508692,0.238323233,0.246945155,-0.033932136,0.058232733,0.139181205,0.239182346,0.607425394,-1,0,0.004149378,0.0,3.063087589,-0.608108108,2.719298246,0.003960396,1.249215317,0.005952829,2.0,2.827083333,4.924050633,-0.724137931,1.35554826,2.0,0.139181205,0.229669443,0.001335492,-0.093476566,3.061718435,0.454968619,3.786808621,6.25,8.677419355,5.129682997,0.100705184,0.114091464,0.170374152,1.41958042,2.740740741,-0.328566565,0,-1,-1,-1,-1,2.884792627,0.123732663,0.0,0.004048583,0.004158004,0.273934209,0.327555129,8.789473684,18.5,0.09952381,3.003963408,4.563953488,0.0,-6.0,0.015873016,1.28125,-0.035013735,-0.903567985,0.043594563,-0.137113324,-0.166324033,-33.0,3.771428571,0.001289802,-1.0,1.333333333,-3.319672131,1.722411832,0.134048927,-0.157817109,-0.136631331,-0.181305399,-0.024398074,-0.023957409,-0.063599062,-0.002800336,1.519107698,76.9505,77.450996,74.767998,74.778,74.778,160120000,-0.20191167677097738
